thumbnail,source,title,link,original,is_product,time
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_Dm_meIYH1_PaxOhbEGR5NaUOTOb_i1hQxg&usqp=CAU,raempel.de,Enzian (Gentiana) - Eine Alpenblume neu entdecken - RAEMPEL,https://raempel.de/enzian/,https://raempel.de/wp-content/uploads/2013/10/Enzian-Clusius-Enzian-Gentiana-clusii1.jpg,False,"25/10/2021, 14:34:29"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzjv0eYdTdAp_rgwAGb6cdwj9dgg_dBJOThQ&usqp=CAU,baumschule-horstmann.de,Großblumiger Frühlings-Enzian (Gentiana acaulis) - Info & Angebot,https://www.baumschule-horstmann.de/shop/exec/product/696/15327/Grossblumiger-Fruehlings-Enzian.html,https://www.baumschule-horstmann.de/bilder/popup/grossblumiger-fruehlings-enzian-m015327_w_0.jpg,False,"25/10/2021, 14:34:29"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcwsTPqpMkGscXGRJ9MLxO9YabbEih_Fw1Zg&usqp=CAU,gartentraeume.com,Die Enziane,https://www.gartentraeume.com/Tipps-und-Inspiration/pflanze-des-monats-august-2017.html,https://www.gartentraeume.com/media/wysiwyg/Blog/content_imageslider_Gentiana-asclepiadea_161553326.jpg,False,"25/10/2021, 14:34:30"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbBLhn-GxB40GLE_6O3arGe1Gso0FslQHRNg&usqp=CAU,oberstdorf-lexikon.de,Enzian,https://www.oberstdorf-lexikon.de/die-enziane.html,https://www.oberstdorf-lexikon.de/files/oberstdorf-lexikon/seine-natur/pflanzen/enzian/enzian-breitblaettrig.jpg,False,"25/10/2021, 14:34:30"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOtdJhOcfrAdxz12AH9p-plG2uDi9pD2401w&usqp=CAU,alamy.com,Enziane High Resolution Stock Photography and Images - Alamy,https://www.alamy.com/stock-photo/enziane.html,https://c8.alamy.com/comp/HXWJ7P/clusius-enziane-oder-groe-enziane-am-abhang-ber-heiligenblut-krnten-HXWJ7P.jpg,True,"25/10/2021, 14:34:32"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1T43mmom_xTyhEIhImaqXLKoOawqnjMgiOQ&usqp=CAU,de.wikipedia.org,Enziane – Wikipedia,https://de.wikipedia.org/wiki/Enziane,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Gentiana_puberulenta_2.jpg/220px-Gentiana_puberulenta_2.jpg,False,"25/10/2021, 14:34:34"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYIjF24lUNgjsqEPuQacxEloMSLnlclRF2jw&usqp=CAU,imago-images.de,"12 06 2019 Alpen Glocken Enzian, Alpenglockenenzian , Enziane an der  Zillertaler Hoehenstrasse, Zel",https://www.imago-images.de/st/0091871931,https://www.imago-images.de/bild/st/0091871931/w.jpg,True,"25/10/2021, 14:34:34"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqCFcoUMvdlBddTte_A5EvHnKiuXlZYsgwLQ&usqp=CAU,waldzeit.ch,Gefranster Enzian (Gentiana ciliata) | Enziangewächse,https://www.waldzeit.ch/pflanzen/gefranster-enzian-gentiana-ciliata/,https://www.waldzeit.ch/wp-content/uploads/2020/10/20120916-_DSC0871-NIKON-D800-105mm.jpg,False,"25/10/2021, 14:34:35"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC4qUjUAY7Kl0CpAF9URX3HC4LziPMssOhcQ&usqp=CAU,garten.ch,Enzian Herbstblüher im Garten auf der Terrassen und Balkon | garten.ch,https://www.garten.ch/enzian-herbstblueher-im-garten-auf-terrassen-und-balkon,https://www.garten.ch/sites/default/files/styles/detailbild-490/public/gartenthemen/04_gentiana-scabra_dsc0559ff.jpg?itok=f-K0c3ml,False,"25/10/2021, 14:34:35"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9Wj9xjacuSeeWvQYjjraDWFaJmyraB6qD9w&usqp=CAU,botanikgruppeaargau.ch,Enziane im Aargau | Botanikgruppe Aargau,https://www.botanikgruppeaargau.ch/enziane-im-aargau,"https://static.wixstatic.com/media/70e626_9e5f09ba9e204a0d981931b8df4aba74~mv2.jpg/v1/fill/w_560,h_400,al_c,q_80,usm_0.66_1.00_0.01/70e626_9e5f09ba9e204a0d981931b8df4aba74~mv2.webp",False,"25/10/2021, 14:34:36"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLF0o6uVVtvAyhkdBxBc4Tv6kCipV2nedukg&usqp=CAU,bartgeier.ch,Enziane | Stiftung Pro Bartgeier,https://www.bartgeier.ch/bilderblog/2015/enziane,https://www.bartgeier.ch/sites/default/files/styles/colorbox/public/images/bilderblog/gallery/20150729_20150729c.jpg?itok=Evof8ZbU,False,"25/10/2021, 14:34:36"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2pYhMJjHfLQCOrN7h4093V3rMiwwgy6M7Eg&usqp=CAU,alamy.de,"Enzian, Gentiana Verna Alpen, Alpzimmern, Berge, Alm, Natur, Pflanzen,  Pflanze, Blumen, Frühling Frühling Enziane, Gentianaceae, Enzian Pflanzen,  Blüten, blau, Nahaufnahme Stockfotografie - Alamy",https://www.alamy.de/enzian-gentiana-verna-alpen-alpzimmern-berge-alm-natur-pflanzen-pflanze-blumen-fruhling-fruhling-enziane-gentianaceae-enzian-pflanzen-bluten-blau-nahaufnahme-image278215418.html,https://c8.alamy.com/compde/x4hpgx/enzian-gentiana-verna-alpen-alpzimmern-berge-alm-natur-pflanzen-pflanze-blumen-fruhling-fruhling-enziane-gentianaceae-enzian-pflanzen-bluten-blau-nahaufnahme-x4hpgx.jpg,True,"25/10/2021, 14:34:36"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRheRM7ndlYNb9lKufjvutArb_IzRlIoLoZIg&usqp=CAU,sunbird-images.com,Bild: Enziane,https://www.sunbird-images.com/detail.php?picture_id=47057,https://www.sunbird-images.com/data/picture/detail/47057.jpg,False,"25/10/2021, 14:34:41"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl5Pfy7jkvKUQzwL2ffhsULmSJrPBNlGS8Tw&usqp=CAU,de.dreamstime.com,"Blaue Enziane stockfoto. Bild von herbst, enzian, hoch - 88639638",https://de.dreamstime.com/stockfoto-blaue-enziane-image88639638,https://thumbs.dreamstime.com/b/sch%C3%B6ne-enziane-132614722.jpg,False,"25/10/2021, 14:34:42"
